ID_LOTE,NO_ARBOLES,AREA_UM,ALT_LOTE,DIST_SURCOS,DIST_PLANTAS,DIBUJO_SIEMBRA,ANALISIS_QUIMICO,TIPO_SIEMBRA,INVITRO_O_CORMOCOLINO,PATRON_USADO,EDAD,PN_ANIO
3636,500,0.45,1800,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,4545
3664,300,0.27,1792,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,248
3775,9200,7,1340,3,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,8,156400
3805,6100,4.25,23,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,21,105161
2007,700,0.75,1828,3,3.5,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO,3,12240
3688,800,0.72,1653,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,14000
2174,500,1,1316,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,HARTON,4,8800
3691,1000,0.9,1782,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,17600
3700,1000,1,1729,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,18000
3761,1000,0.8,1654,2,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,18000
3713,13600,10.2,1185,2.5,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2.41,244800
3633,400,0.8,324,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,HARTON,2,7500
2046,500,0.6,1656,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,9800
3673,40,0.34,1725,3,3,CUADRADO,NO,INTESIVO,INVITRO,HARTON,2,800
3687,1000,1,1172,3,3,CUADRADO,SI,INTESIVO,CORMOCOLINO,HARTON,1,20000
3735,2285,2.056,1408,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,51000
3640,800,0.96,1810,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,18000
3757,650,0.4,1475,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2,15000
3783,7000,7,1258,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,167500
2782,4000,5.5,1810,4,3,CUADRADO,SI,INTESIVO,CORMOCOLINO,DOMINICO,3,96000
2766,5000,6,1437,6,2,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,120000
3704,650,0.78,1536,3,4,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2,18000
3810,800,1,1654,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2,23000
3609,4900,6.86,1238,14,1,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,141000
