ID,Locality,srtm,slope,int_extDrain,effDepth,trmm_0,trmm_1,trmm_2,tempAvg_0,PrecAcc_0,PrecAcc_1,PrecAcc_2,Yield
83,Buenos aires,2030,10,3,66,1.875124,0.5987176,1.110019933,16.5,27.2,8.6,4,0.0245
84,Chical,2031,10,3,66,5.283981633,1.4095994,1.107890733,16.5,27.2,8.6,4,0.024603175
85,Chical,2031,10,3,66,7.931058667,2.0300929,0.4437487,16.2,29.9,27.2,8.6,0.025125
86,Chical,2031,10,3,66,8.177961167,5.541617467,1.296425267,16.2,29.9,27.2,8.6,0.025178571
87,Chical,2031,10,3,66,10.89134387,9.5120818,1.875124,16.2,21.2,29.9,27.2,0.0251875
88,Buenos aires,2030,10,3,66,7.483230533,10.8781605,5.946450633,16.2,21.2,29.9,27.2,0.025714286
89,Chical,2031,10,3,66,5.658,10.53485053,9.172575133,16.6,14.8,21.2,29.9,0.025793651
90,Chical,2031,10,3,66,6.348,7.05,10.1814147,16.8,14.8,14.8,21.2,0.027142857
91,Chical,2031,10,3,66,0.4490539,6.348,7.576,17,16.4,14.8,14.8,0.027777778
92,Buenos aires,2030,10,3,66,1.3600291,6.3102833,3.37,17,16.4,14.8,14.8,0.027777778
93,Chical,2031,10,3,66,4.40116175,0.5387561,6.348,17.2,20.3,16.4,14.8,0.02875
94,Buenos aires,2030,10,3,66,3.441232467,1.479498643,4.7960552,17.2,20.3,16.4,14.8,0.02875
95,Chical,2031,10,3,66,2.483429533,3.80029475,0.4490539,17.1,16.3,20.3,16.4,0.028769841
96,Chical,2031,10,3,66,1.798625933,3.393361667,1.484721643,17.1,16.3,20.3,16.4,0.028928571
97,Buenos aires,2174,8,3,69,3.127379167,5.4288345,11.19993503,15.9,3.9,16.2,20.4,0.02921875
98,Buenos aires,2174,8,3,69,2.563968367,4.782550067,5.184880267,15.9,3.9,16.2,20.4,0.029333333
99,Buenos aires,2174,8,3,69,0.2328434,3.0160811,4.508957133,15.8,2.6,3.9,16.2,0.03
100,Buenos aires,2174,8,3,69,1.100410133,2.563968367,4.0644947,15.8,2.6,3.9,16.2,0.030350877
101,Buenos aires,2174,8,3,69,1.143838333,0.1435771,3.0013822,15.8,3.6,2.6,3.9,0.03046875
102,Jacoba,2151,22,3,67,0.7507638,0.686574933,2.563968367,15.8,3.6,2.6,3.9,0.03046875
103,Chical,2031,10,3,66,0.6823608,1.049166533,0.2869425,16,8,3.6,2.6,0.0309375
104,Jacoba,2046,12.5,3,40,2.1424454,0.3443815,1.107836233,16,8,3.6,2.6,0.03140625
105,Chical,2031,10,3,66,4.558841,0.563549,0.912279633,15.7,27.4,8,3.6,0.031746032
106,Chical,2031,10,3,66,5.847826633,2.1573244,0.3369286,15.7,27.4,8,3.6,0.0325
107,Buenos aires,2174,8,3,69,9.768125933,2.244223,0.563549,15.4,31.2,27.4,8,0.03281746
108,Buenos aires,2174,8,3,69,10.8781605,5.601644833,2.0837142,15.4,31.2,27.4,8,0.033333333
109,Chical,2031,10,3,66,10.1551469,7.472146833,6.035758333,15.4,22,31.2,27.4,0.033392857
110,Buenos aires,2015,8,3,63,1.4943171,2.979321867,2.862652107,16.3,16.2,20.4,18.2,0.033571429
111,Chical,2014,12.5,3,63,2.959172403,3.72512,3.661045633,17.2,14.6,14.3,20.7,0.034375
112,Buenos aires,2015,8,3,63,5.035048333,2.700988403,4.827289467,17.6,16.1,14.6,14.3,0.034749035
113,Chical,2014,12.5,3,63,9.622425733,4.001661337,3.505903733,17.6,16.1,14.6,14.3,0.03475
114,Buenos aires,2015,8,3,63,11.88513217,5.4028585,4.46013137,17.7,20.4,16.1,14.6,0.035
115,Jacoba,2290,14,2,48,7.6860936,9.874701367,4.609006567,17.7,20.4,16.1,14.6,0.035535714
116,Jacoba,2290,14,2,48,5.735544667,13.7556599,4.128994,17.6,17.1,20.4,16.1,0.035714286
117,Jacoba,1900,14,3,60,4.574349633,7.7074968,10.5674825,17.6,17.1,20.4,16.1,0.035714286
118,Chical,2014,12.5,3,63,2.9094771,4.582067333,7.9759069,17.5,5.8,17.1,20.4,0.035714286
119,Jacoba,2290,14,2,48,0.980063633,3.150348567,5.372844567,17.5,2.8,5.8,17.1,0.035897436
120,Chical,2014,12.5,3,63,0.2722436,2.675436267,4.642549067,17.5,2.8,5.8,17.1,0.0359375
121,Chical,2014,12.5,3,63,1.110019933,2.208717567,2.050821733,17.6,4.5,2.8,5.8,0.03625
122,Chical,2014,12.5,3,63,1.049166533,0.2869425,2.8904478,17.6,4.5,2.8,5.8,0.03627451
123,Buenos aires,2015,8,3,63,0.5987176,1.110019933,0.3791384,17.6,9,4.5,2.8,0.036607143
124,Chical,2014,12.5,3,63,1.6769208,1.070760333,0.3665784,17.6,9,4.5,2.8,0.036904762
125,Chical,2014,12.5,3,63,1.875124,0.5987176,1.110019933,17.1,26.9,9,4.5,0.0375
126,Chical,2014,12.5,3,63,5.283981633,1.4095994,1.107890733,17.1,26.9,9,4.5,0.03775
127,Jacoba,2290,14,2,48,7.931058667,2.0300929,0.4437487,16.6,29.1,26.9,9,0.038035714
128,Buenos aires,2015,8,3,63,8.177961167,5.541617467,1.296425267,16.6,29.1,26.9,9,0.038541667
