ID,Locality,srtm,slope,int_extDrain,effDepth,trmm_0,trmm_1,trmm_2,tempAvg_0,PrecAcc_0,PrecAcc_1,PrecAcc_2,Yield
244,Chical,2148,20,3,66,1.4649276,2.962672267,3.192791071,17.5,16.6,20.2,16,0.15125
245,Chical,2148,20,3,66,1.7840713,1.683351333,3.992057857,19,5.7,16.6,20.2,0.166666667
246,Chical,2148,20,3,66,0.881645003,1.4238562,2.937950467,19,5.7,16.6,20.2,0.16775
247,Chical,2066,23,3,64,7.4350588,5.804896933,0.6823608,19,28.8,26.5,8.8,0.17075
248,Chical,2148,20,3,66,10.5557529,6.312722433,2.1424454,19,28.8,26.5,8.8,0.1745
249,Chical,2148,20,3,66,10.90714687,8.0385618,4.558841,19,20.5,28.8,26.5,0.175
250,Chical,2148,20,3,66,7.590515833,10.8790832,5.847826633,17.5,20.5,28.8,26.5,0.19375
251,Chical,2066,23,3,64,7.05,10.1814147,8.134010967,19,14.2,20.5,28.8,0.204166667
252,Chical,2148,20,3,66,3.22,7.1268142,10.59835483,17.5,14.2,20.5,28.8,0.211875
253,Chical,2148,20,3,66,6.3102833,3.37,10.1551469,17.5,14.4,14.2,20.5,0.216875
254,Chical,2148,20,3,66,0.4490539,6.584,7.498,19,14.4,14.2,20.5,0.25
